date,SYN_BENCH,SYN_ORBIT,SYN_CEDAR,SYN_HARBOR,SYN_RIDGE
2025-11-21,101.483132,49.230835,73.670532,36.755894,55.762753
2025-11-24,101.424172,49.374460,73.962744,36.590321,55.701249
2025-11-25,101.376096,49.557998,74.269890,36.414945,55.663452
2025-11-26,101.340745,49.779394,74.587673,36.237289,55.649640
2025-11-27,101.319764,50.035602,74.911532,36.064856,55.659831
2025-11-28,101.314578,50.322639,75.236734,35.904836,55.693773
2025-12-01,101.326373,50.635659,75.558462,35.763839,55.750953
2025-12-02,101.356076,50.969048,75.871919,35.647662,55.830600
2025-12-03,101.404349,51.316552,76.172427,35.561107,55.931685
2025-12-04,101.471571,51.671420,76.455535,35.507823,56.052937
2025-12-05,101.557840,52.026573,76.717118,35.490207,56.192846
2025-12-08,101.662967,52.374799,76.953473,35.509335,56.349678
2025-12-09,101.786478,52.708958,77.161413,35.564927,56.521493
2025-12-10,101.927622,53.022195,77.338343,35.655356,56.706154
2025-12-11,102.085380,53.308169,77.482326,35.777694,56.901354
2025-12-12,102.258478,53.561253,77.592133,35.927790,57.104638
2025-12-15,102.445403,53.776739,77.667277,36.100397,57.313425
2025-12-16,102.644426,53.951001,77.708023,36.289332,57.525037
2025-12-17,102.853624,54.081632,77.715386,36.487684,57.736736
2025-12-18,103.070910,54.167536,77.691108,36.688063,57.945747
2025-12-19,103.294060,54.208967,77.637610,36.882877,58.149300
2025-12-22,103.520746,54.207530,77.557936,37.064643,58.344667
2025-12-23,103.748574,54.166120,77.455681,37.226307,58.529193
2025-12-24,103.975119,54.088822,77.334904,37.361562,58.700341
2025-12-25,104.197960,53.980768,77.200034,37.465147,58.855727
2025-12-26,104.414726,53.847962,77.055770,37.533103,58.993153
2025-12-29,104.623124,53.697082,76.906975,37.562968,59.110646
2025-12-30,104.820989,53.535261,76.758576,37.553912,59.206486
2025-12-31,105.006308,53.369877,76.615460,37.506771,59.279237
2026-01-01,105.177264,53.208327,76.482375,37.424010,59.327768
2026-01-02,105.332263,53.057832,76.363843,37.309597,59.351276
2026-01-05,105.469961,52.925241,76.264071,37.168805,59.349292
2026-01-06,105.589292,52.816866,76.186876,37.007955,59.321699
2026-01-07,105.689481,52.738330,76.135624,36.834122,59.268725
2026-01-08,105.770065,52.694450,76.113166,36.654813,59.190945
2026-01-09,105.830894,52.689128,76.121794,36.477648,59.089268
2026-01-12,105.872143,52.725277,76.163207,36.310051,58.964922
2026-01-13,105.894301,52.804758,76.238477,36.158969,58.819434
2026-01-14,105.898166,52.928346,76.348033,36.030621,58.654605
2026-01-15,105.884834,53.095704,76.491656,35.930292,58.472478
2026-01-16,105.855674,53.305390,76.668476,35.862165,58.275309
2026-01-19,105.812311,53.554869,76.876985,35.829198,58.065530
2026-01-20,105.756593,53.840562,77.115057,35.833035,57.845711
2026-01-21,105.690563,54.157898,77.379982,35.873965,57.618527
2026-01-22,105.616423,54.501414,77.668501,35.950909,57.386713
2026-01-23,105.536499,54.864856,77.976866,36.061448,57.153033
2026-01-26,105.453202,55.241327,78.300897,36.201895,56.920242
2026-01-27,105.368989,55.623449,78.636058,36.367393,56.691051
2026-01-28,105.286325,56.003551,78.977538,36.552072,56.468093
2026-01-29,105.207644,56.373885,79.320344,36.749233,56.253899
2026-01-30,105.135311,56.726848,79.659398,36.951584,56.050862
2026-02-02,105.071591,57.055219,79.989643,37.151510,55.861222
2026-02-03,105.018606,57.352392,80.306154,37.341373,55.687037
2026-02-04,104.978315,57.612598,80.604240,37.513832,55.530169
2026-02-05,104.952477,57.831112,80.879561,37.662168,55.392264
2026-02-06,104.942632,58.004421,81.128223,37.780598,55.274743
2026-02-09,104.950074,58.130353,81.346876,37.864548,55.178785
2026-02-10,104.975838,58.208165,81.532796,37.910888,55.105324
2026-02-11,105.020683,58.238571,81.683953,37.918081,55.055040
2026-02-12,105.085080,58.223719,81.799067,37.886274,55.028353
2026-02-13,105.169207,58.167117,81.877636,37.817282,55.025421
